"DIVISÃO DO FABRICANTE";"SERVERIDADE DO FABRICANTE";"CATEGORIA DO FABRICANTE";"NOME DO EVENTO";"THRESHOLD";"IMPACTO";"AÇÃO RECOMENDADA";"ZABBIX TRIGGER";"FAMÍLIA DO EQUIPAMENTO";"AUTENTICAÇÃO INICIAL/RENOVAÇÃO";"POLÍTICA DE REDIRECIONAMENTO";"COMANDO CURL POSSÍVEL";"OBSERVAÇÕES PARA USO"
"Performance";"Major";"Latency";"Storage utilization";">85%";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/metric/instances?fields=path,name,description""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET descobre o catálogo. Selecionar o metric path e validar a consulta de valores via metricRealTimeQuery/metricValue no /apidocs."
"Performance";"Major";"Latency";"Network utilization";">80% link capacity";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/metric/instances?fields=path,name,description""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET descobre o catálogo. Selecionar o metric path e validar a consulta de valores via metricRealTimeQuery/metricValue no /apidocs."
"Performance";"Major";"Latency";"Packet loss";">0.1%";"Slow apps";"Tune workload";"avg(/host/latency,15m)>15";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/metric/instances?fields=path,name,description""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET descobre o catálogo. Selecionar o metric path e validar a consulta de valores via metricRealTimeQuery/metricValue no /apidocs. Procurar erros/descartes e calcular a taxa com o total de pacotes."
"Capacity";"Critical";"CPU";"Controller CPU";">95%";"Service impact";"Investigate";"avg(/host/cpu,15m)>95";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/metric/instances?fields=path,name,description""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET descobre o catálogo. Selecionar o metric path e validar a consulta de valores via metricRealTimeQuery/metricValue no /apidocs. Escolher o path de CPU por Storage Processor."
"Capacity";"Major";"Volume";"Volume Usage";">80%";"Growth risk";"Plan capacity";"last(/host/volume.used)>80";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/lun/instances?fields=id,name,sizeTotal,sizeAllocated,health""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Para file storage, repetir a validação usando o resource type filesystem."
"Capacity";"Major";"Pool";"Pool Usage";">90%";"Capacity risk";"Expand pool";"last(/host/pool.used)>90";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/pool/instances?fields=id,name,sizeTotal,sizeFree,health""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar resource type e fields no /apidocs do Unity OE instalado."
"Capacity";"Critical";"Pool";"Pool Full";">95%";"Service impact";"Emergency expansion";"last(/host/pool.used)>95";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/pool/instances?fields=id,name,sizeTotal,sizeFree,health""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Calcular usado = total - livre e confirmar se thin provisioning altera a interpretação."
"Replication";"Critical";"DR";"Replication Failed";">15m";"DR unavailable";"Restore";"last(/host/repl.status)=0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/replicationSession/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar resource type e fields no /apidocs do Unity OE instalado."
"Replication";"Major";"Lag";"Replication Lag";">1h";"Recovery risk";"Investigate";"last(/host/repl.lag)>3600";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/replicationSession/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar timestamps/RPO disponíveis na sessão; não inferir lag somente do health."
"Protocols";"Degraded";"NFS";"NFS Service";"down";"Access impact";"Restart service";"last(/host/nfs.status)=0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/nfsServer/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar resource type e fields no /apidocs do Unity OE instalado."
"Protocols";"Degraded";"SMB";"SMB Service";"down";"Access impact";"Restart service";"last(/host/smb.status)=0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/cifsServer/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Validar resource type e fields no /apidocs do Unity OE instalado."
"Security";"Critical";"Audit";"Audit Disabled";"Any";"Compliance risk";"Enable audit";"last(/host/audit.enabled)=0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/alert/instances""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. A configuração de auditoria pode não estar exposta por GET nesta versão; validar /apidocs e syslog."
"Security";"Critical";"Admin";"Unauthorized Admin";"Any";"Security breach";"Investigate";"change(/host/admin.count)>0";"Unity XT";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -u ""$USER:$PASS"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" -c ""$UNITY_COOKIE_FILE"" -D ""$UNITY_HEADERS_FILE"" ""https://$HOST/api/types/loginSessionInfo/instances""";"GET no mesmo host/porta: após validar o destino, usar --location --max-redirs 3 --proto-redir '=https'. Se Location mudar host ou porta, validar allowlist e certificado antes de repetir. Nunca usar --location-trusted.";"curl -sS --fail --connect-timeout 10 --max-time 30 --cacert ""$CA"" -b ""$UNITY_COOKIE_FILE"" -c ""$UNITY_COOKIE_FILE"" -H ""X-EMC-REST-CLIENT: true"" -H ""Accept: application/json"" ""https://$HOST/api/types/user/instances?fields=id,name,role""";"Autenticar ao iniciar e renovar somente após expiração/HTTP 401 ou erro de sessão. Reutilizar $UNITY_COOKIE_FILE; não usar Basic nos GETs. HTTP 403 também pode ser falta de permissão. Este GET mostra inventário de contas, não prova acesso não autorizado; usar auditoria/SIEM para o evento."
